,wikiuri,chname
45,http://www.wikidata.org/entity/Q230178,سورة غافر
46,http://www.wikidata.org/entity/Q230014,سورة يس
47,http://www.wikidata.org/entity/Q230107,سورة الصافات
48,http://www.wikidata.org/entity/Q219738,سورة التوبة
49,http://www.wikidata.org/entity/Q219752,سورة يونس
50,http://www.wikidata.org/entity/Q230436,سورة فصلت
51,http://www.wikidata.org/entity/Q230466,سورة الشورى
52,http://www.wikidata.org/entity/Q230490,سورة الزخرف
53,http://www.wikidata.org/entity/Q230538,سورة الدخان
54,http://www.wikidata.org/entity/Q235662,سورة الصف
55,http://www.wikidata.org/entity/Q235785,سورة التحريم
56,http://www.wikidata.org/entity/Q3978136,المعوذتين
57,http://www.wikidata.org/entity/Q230560,سورة الجاثية
58,http://www.wikidata.org/entity/Q230579,سورة الأحقاف
59,http://www.wikidata.org/entity/Q229959,سورة سبأ
60,http://www.wikidata.org/entity/Q229998,سورة فاطر
61,http://www.wikidata.org/entity/Q230604,سورة محمد
62,http://www.wikidata.org/entity/Q230638,سورة الفتح
63,http://www.wikidata.org/entity/Q230657,سورة الحجرات
64,http://www.wikidata.org/entity/Q230687,سورة ق
65,http://www.wikidata.org/entity/Q230743,سورة الذاريات
66,http://www.wikidata.org/entity/Q230802,سورة الطور
67,http://www.wikidata.org/entity/Q230944,سورة الواقعة
68,http://www.wikidata.org/entity/Q231561,سورة الحديد
69,http://www.wikidata.org/entity/Q230829,سورة النجم
70,http://www.wikidata.org/entity/Q230856,سورة القمر
71,http://www.wikidata.org/entity/Q230910,سورة الرحمن
72,http://www.wikidata.org/entity/Q231664,سورة المجادلة
73,http://www.wikidata.org/entity/Q231700,سورة الحشر
74,http://www.wikidata.org/entity/Q231728,سورة الممتحنة
75,http://www.wikidata.org/entity/Q231779,سورة الجمعة
76,http://www.wikidata.org/entity/Q231926,سورة المنافقون
77,http://www.wikidata.org/entity/Q231955,سورة التغابن
78,http://www.wikidata.org/entity/Q232023,سورة القلم
79,http://www.wikidata.org/entity/Q232063,سورة الحاقة
80,http://www.wikidata.org/entity/Q232123,سورة المعارج
81,http://www.wikidata.org/entity/Q232455,سورة نوح
82,http://www.wikidata.org/entity/Q232473,سورة الجن
83,http://www.wikidata.org/entity/Q232497,سورة المزمل
84,http://www.wikidata.org/entity/Q232579,سورة المدثر
85,http://www.wikidata.org/entity/Q231975,سورة الطلاق
86,http://www.wikidata.org/entity/Q231999,سورة الملك
87,http://www.wikidata.org/entity/Q232605,سورة القيامة
88,http://www.wikidata.org/entity/Q232623,سورة الإنسان
89,http://www.wikidata.org/entity/Q232647,سورة المرسلات
90,http://www.wikidata.org/entity/Q232670,سورة النبإ
91,http://www.wikidata.org/entity/Q232690,سورة النازعات
92,http://www.wikidata.org/entity/Q232706,سورة عبس
93,http://www.wikidata.org/entity/Q232820,سورة التكوير
94,http://www.wikidata.org/entity/Q232864,سورة الانفطار
95,http://www.wikidata.org/entity/Q232878,سورة المطففين
96,http://www.wikidata.org/entity/Q232904,سورة الانشقاق
97,http://www.wikidata.org/entity/Q232924,سورة البروج
98,http://www.wikidata.org/entity/Q233041,سورة الطارق
99,http://www.wikidata.org/entity/Q233073,سورة الأعلى
100,http://www.wikidata.org/entity/Q233093,سورة الغاشية
101,http://www.wikidata.org/entity/Q233123,سورة الفجر
102,http://www.wikidata.org/entity/Q233250,سورة الليل
103,http://www.wikidata.org/entity/Q233275,سورة الضحى
104,http://www.wikidata.org/entity/Q233296,سورة الشرح
105,http://www.wikidata.org/entity/Q233146,سورة البلد
106,http://www.wikidata.org/entity/Q233170,سورة الشمس
107,http://www.wikidata.org/entity/Q233314,سورة التين
108,http://www.wikidata.org/entity/Q233580,سورة العلق
109,http://www.wikidata.org/entity/Q233600,سورة القدر
110,http://www.wikidata.org/entity/Q233624,سورة البينة
111,http://www.wikidata.org/entity/Q233653,سورة الزلزلة
112,http://www.wikidata.org/entity/Q233673,سورة العاديات
113,http://www.wikidata.org/entity/Q233695,سورة القارعة
114,http://www.wikidata.org/entity/Q233712,سورة التكاثر
